x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
18,39,-0.56619,0.00228798,1.84496,3.81964
17,20,-0.92427,9.85E-05,2.06686,3.81871
11,44,-0.251422,0.000914385,2.05558,3.81633
10,83,-0.372348,0.000526419,1.93689,3.81555
9,41,-0.630566,0.00259447,1.91842,3.81318
6,57,-0.119274,0.00168206,1.69059,3.81027
17,96,-0.348201,0.00110931,1.87975,3.80148
8,40,-0.552213,0.00294135,1.94308,3.80114
13,22,-0.142678,2.19E-05,1.98859,3.80106
5,60,-0.00894997,0.000757257,1.71419,3.80001
16,41,-1.0018,0.000519408,2.01986,3.79899
6,17,-0.0985243,7.25E-05,2.06079,3.79
17,101,-0.0106675,0.00054959,1.80139,3.78996
3,17,-0.515769,1.75E-05,2.07355,3.78922
10,24,-0.468346,0.000162321,2.05958,3.78697
5,40,-0.25447,0.022572,1.35382,3.78428
4,66,-0.425676,9.81E-05,1.66556,3.77783
4,51,0.0944054,0.00153939,1.73444,3.76786
5,42,0.125008,0.0159103,1.54605,3.76661
16,28,-0.412402,0.000815888,1.80571,3.75945
18,65,-0.262814,0.000123073,1.69638,3.75799
22,97,0.0294775,0.00668588,1.73592,3.7559
14,103,-0.0222563,0.000549183,1.78379,3.7512
21,66,-0.228101,9.91E-05,1.68267,3.74356
21,43,0.144558,0.00365093,1.56411,3.74178
6,58,0.263898,0.00190194,1.63447,3.73453
6,80,0.63619,0.00027438,1.75049,3.73064
5,78,0.0682958,0.000360611,1.74638,3.72185
13,103,-0.00361798,0.000440885,1.75314,3.72105
11,24,-0.0643648,4.11E-05,1.98816,3.72085
20,40,1.50595,0.00354732,1.51003,3.71452
16,92,0.649301,0.00431696,1.86953,3.71382
8,76,0.101072,0.000379435,1.73603,3.70968
8,21,0.179407,9.36E-05,1.99514,3.70871
22,44,0.148291,0.00108392,1.74858,3.70814
9,84,0.099323,0.000485721,1.83654,3.70357
22,50,0.349102,0.000652075,1.66862,3.70039
21,18,-0.411633,8.84E-05,2.0026,3.69384
17,41,-0.82759,0.00124077,1.82307,3.69042
8,58,0.110947,0.00164451,1.58863,3.68655
3,78,-0.0548688,0.000376061,1.75992,3.68309
7,81,0.148003,0.00060988,1.75755,3.68153
4,71,-0.468033,0.000662753,1.74907,3.67841
11,92,-0.50733,0.000779,1.83908,3.67465
5,58,-0.136026,0.00128601,1.70697,3.67343
3,72,-0.0590375,0.000279705,1.76041,3.6713
5,85,-0.180735,0.000726707,1.7408,3.66423
5,80,-0.354792,0.000248558,1.71064,3.66293
12,103,-0.025308,0.000125225,1.65141,3.65943
15,103,-0.0155085,0.000419683,1.76695,3.6594
19,96,-0.392413,0.00510006,1.66637,3.6594
16,103,-0.0265997,0.000336428,1.7795,3.65328
8,87,-0.157369,0.000441748,1.64903,3.64744
14,83,0.282281,0.00258416,2.04143,3.6417
5,61,-0.201661,0.000639833,1.65122,3.64032
3,66,-0.238479,0.000261464,1.65242,3.63969
11,78,0.366496,0.00204236,1.88605,3.63392
7,91,-0.720887,0.000714789,1.66136,3.63161
5,49,-0.374732,0.00163304,1.70625,3.63126
5,48,-0.164391,0.00114923,1.71998,3.63005
18,97,-0.28432,0.00136236,1.72025,3.62732
22,72,-0.332606,0.000375403,1.75933,3.62438
6,16,-0.0478326,3.50E-05,1.944,3.62434
7,58,-0.00689497,0.000949725,1.51575,3.62345
21,51,-0.110445,0.000594895,1.62297,3.61645
1,70,0.0290171,0.000243439,1.68725,3.60738
9,95,-0.34431,0.00108198,1.50649,3.60671
14,97,0.000443252,0.00132573,1.76209,3.60552
17,43,0.257531,0.000800854,1.74899,3.59997
0,44,0.00719291,0.000778817,1.70958,3.59939
4,57,-0.0185466,0.000732112,1.69228,3.59876
12,101,-0.339148,0.000198637,1.62387,3.59754
5,39,-1.04935,0.0378523,1.34261,3.5969
2,72,-0.664436,0.000248153,1.76407,3.59538
19,44,1.40776,0.00257943,1.53586,3.59295
4,65,0.300995,9.93E-05,1.59526,3.59154
19,0,4.90427,7.91E-06,1.97157,3.58544
21,67,0.0645236,0.00014002,1.62342,3.57796
16,20,0.0797234,0.000115943,1.89864,3.57182
8,44,-0.293145,0.00903308,1.78072,3.57161
13,43,0.078878,0.00159503,2.13732,3.56685
6,47,0.473915,0.00302589,1.59818,3.56615
4,1,-0.00839471,2.18E-06,1.91095,3.56603
3,15,-0.0121359,1.01E-05,1.93314,3.5623
10,89,-0.0225896,0.000859933,1.80816,3.56062
10,72,-0.142086,0.00309047,1.90394,3.55966
4,15,0.0609149,3.39E-06,1.91708,3.55921
9,72,-0.111641,0.0010995,1.86649,3.5589
20,76,-0.0199045,0.00227727,1.8637,3.5568
12,93,0.0338181,0.0018982,1.83186,3.55564
22,65,-0.232207,5.54E-05,1.71317,3.55014
